Region,Year,Total economically active,Total in employment,Unemployed,Employment rate (%),Total economically active (16 to 64),Total in employment (16 to 64),Unemployed (16 to 64),Economically inactive (16 to 64),Economic activity rate (%) (16 to 64),Employment rate (%) (16 to 64),Unemployment rate (%) (16 to 64),Treated
North East,1993,1188934.969,1034500.548,154434.4218,51.1186326,1177444.984,1023567.882,153877.1024,459578.0158,71.92598908,62.52617598,13.0687297,0
North East,1993,1190408.457,1037770.194,152638.2629,51.28374614,1179151.416,1027345.825,151805.591,457610.5837,72.04171506,62.76696461,12.87413889,0
North East,1993,1190909.196,1041580.841,149328.3552,51.47704378,1179779.543,1031049.606,148729.9376,456712.4566,72.09198355,63.00364473,12.60658726,0
North East,1993,1196888.48,1047644.577,149243.9037,51.77844044,1183626.136,1035216.55,148409.5857,452643.864,72.33684759,63.2668539,12.53855261,0
North East,1993,1192702.899,1045703.966,146998.9328,51.68592582,1181873.15,1035385.233,146487.9164,454204.8505,72.23819094,63.2845887,12.3945549,0
North East,1993,1192852.685,1043352.445,149500.2406,51.57609599,1180468.923,1031880.965,148587.9585,455243.0767,72.16850664,63.08451395,12.58719781,0
North East,1993,1190101.121,1037024.798,153076.3232,51.26920622,1177958.982,1025500.3,152458.6825,457447.0176,72.02853496,62.70615981,12.94261386,0
North East,1993,1191539.85,1029957.308,161582.5419,50.93332047,1179729.388,1018322.906,161406.4819,455008.6124,72.16626686,62.2927286,13.68165306,0
North East,1993,1188089.337,1027825.132,160264.205,50.84299121,1177324.239,1017147.134,160177.1059,456735.7605,72.04902142,62.2466209,13.60518204,0
North East,1993,1191782.272,1033837.657,157944.6151,51.15108795,1180466.654,1022816.965,157649.6889,453054.3464,72.26516547,62.61425257,13.35486169,0
North East,1993,1186502.103,1029677.589,156824.5134,50.95985923,1177239.279,1020999.122,156240.157,455629.7213,72.09637017,62.52792611,13.27174176,0
North East,1993,1186955.433,1038467.34,148488.0939,51.40935058,1176246.811,1028442.679,147804.1328,455954.1885,72.06507112,63.00956063,12.56574142,0
North East,1994,1184328.276,1035291.652,149036.6232,51.26812771,1173403.515,1025247.219,148156.2956,458084.4854,71.92228901,62.84123567,12.6262018,0
North East,1994,1183785.989,1039505.729,144280.2599,51.48825903,1174448.558,1030344.809,144103.7493,456457.4421,72.01203245,63.17622282,12.2699073,0
North East,1994,1183668.279,1033107.641,150560.6373,51.18489055,1174068.868,1023460.778,150608.0898,456193.1319,72.01718915,62.77891396,12.82787525,0
North East,1994,1188408.115,1039348.476,149059.6389,51.51172533,1177028.644,1028440.14,148588.5038,452555.3563,72.22878009,63.11059386,12.62403465,0
