region,year,total_economically_active,total_in_employment,unemployed,employment_rate,total_economically_active_16_64,total_in_employment_16_64,unemployed_16_64,economically_inactive_16_64,economic_activity_rate_16_64,employment_rate_16_64,unemployment_rate_16_64,treated,RegionID
London,1993,3455554.6359166666,2983146.9101666664,472407.7257166666,55.414189819166666,3399061.388916666,2930255.775,468805.61391666665,1068913.3610833334,76.0763514825,65.583880815,13.7939052275,1.0,1
London,1994,3429850.4745833334,2984658.8609166667,445191.6136333333,55.364143504999994,3369476.5437499997,2927441.9775833334,442034.5661583333,1113806.1229166666,75.15659770833334,65.29611479333333,13.119007360833335,1.0,1
London,1995,3462754.04475,3049464.292,413289.7527666667,56.31125574083333,3406123.6778333336,2995529.1295,410594.5481,1107904.9888333334,75.45582265333333,66.35963350166666,12.055237140833334,1.0,1
London,1996,3491407.587,3092815.2294166666,398592.35752500006,56.68837345833333,3438167.5969166667,3043569.416583333,394598.1800666666,1122275.9864166665,75.39108707666666,66.73835666416666,11.477239572499998,1.0,1
London,1997,3533705.1025000005,3190473.9500833335,343231.1522083333,58.1255572225,3483229.5093333335,3142867.0300833336,340362.4792,1117039.4073333333,75.71838724999999,68.31875583583333,9.772471143999999,1.0,1
London,1998,3540397.4726666664,3250498.5822499995,289898.89054166665,58.756458664166665,3487077.067166667,3199459.812666667,287617.25435833336,1162114.0161666668,75.00251287833333,68.81494555916667,8.251481900666667,1.0,1
London,1999,3661985.4403333333,3386705.6779166665,275279.76255,60.33863529083334,3605528.1925000004,3333098.4335,272429.75888333336,1131626.1408333334,76.11218026916667,70.36032575750001,7.556951410916667,1.0,1
London,2000,3695315.14275,3430235.663583333,265079.4792916667,60.160866883333334,3637600.5903333332,3374638.378583333,262962.2118583333,1194938.0763333335,75.27580919083333,69.83325546166667,7.228897196416667,1.0,1
London,2001,3752285.822,3504620.1058333335,247665.71629166664,60.494003395,3696594.13325,3449795.250833333,246798.882625,1230203.5334166668,75.02988321833332,70.02102144,6.675107107333333,1.0,1
London,2002,3780045.48,3519552.0435833335,260493.43626666666,60.225251829166666,3723170.8854166665,3465082.3476666664,258088.53780000002,1257540.03125,74.7520956925,69.5701408325,6.932020597,1.0,1
London,2003,3776825.149083333,3507813.1223333334,269012.02681666665,59.838376833333335,3719121.8288333337,3452142.1648333333,266979.6641,1283518.6711666666,74.34296491583333,69.0061693275,7.17849742375,1.0,1
London,2004,3784183.945083333,3517142.3090833332,267041.63594166667,59.649110442499996,3725643.288583333,3461129.1831666664,264514.1052,1315390.2114166666,73.90740345916667,68.66034082833333,7.100095014416667,1.0,1
London,2005,3827875.636833334,3558406.3955833334,269469.2414416667,59.67788345916667,3760888.273,3494222.58525,266665.6877833333,1349114.6436666667,73.59866541666666,68.38056711833333,7.089787375333334,1.0,1
London,2006,3936424.0409166664,3632124.6395,304299.40140000003,60.23516875916667,3858395.0253333333,3556264.4386666664,302130.5866916667,1323797.2246666667,74.45402664083333,68.62425670416667,7.82919103875,1.0,1
London,2007,3971934.19025,3694191.0286666662,277743.16155,60.50302589583333,3899751.6871666666,3624230.62625,275521.06063333334,1360253.0628333334,74.14005449583333,68.90080329166666,7.066045476916667,1.0,1
London,2008,4105938.66275,3811381.9985,294556.6643333333,61.491406248333334,4030928.7117500002,3738134.6925000004,292794.0193166667,1317264.03825,75.36914366250001,69.89543886333333,7.2624547585,1.0,1
London,2009,4149551.4141666666,3782106.1781666665,367445.2360333333,60.062047181666664,4068675.2522500004,3704188.1106666666,364487.1416083334,1369915.0810833334,74.81299551333333,68.11274013166667,8.959638991416666,1.0,1
London,2010,4204891.954583333,3815338.567,389553.3875916667,59.68591167416667,4126227.6593333334,3740297.9664166667,385929.69265833334,1397175.0906666666,74.70298332166668,67.71609666916667,9.352494534583334,1.0,1
London,2011,4300536.434166667,3873950.905166667,426585.52911666664,59.5855020825,4212211.3065,3791343.778333334,420867.5280666666,1406716.9435,74.96547650916666,67.47632339416667,9.99108127375,1.0,1
London,2012,4366902.164666667,3958691.8265,408210.33814166667,60.19116475083333,4266944.383166666,3861277.9415833335,405666.4414666667,1402673.7001666666,75.25843479833334,68.10256930666667,9.512493158333333,1.0,1
London,2013,4490073.130333333,4099861.2843333334,390211.84595,61.634493820833335,4383641.694166667,3996030.9040833334,387610.7900916667,1338250.5558333334,76.61080019833334,69.8362383675,8.843770143333334,1.0,1
London,2014,4596369.8730833335,4271138.84725,325231.02581666666,63.375913197500005,4471249.945416667,4151557.409166666,319692.53635833337,1316644.47125,77.25243482916666,71.72718521416667,7.15096748025,1.0,1
London,2015,4666097.534750001,4372821.554416667,293275.980175,64.01167810416666,4531616.761333333,4242840.147249999,288776.61419166665,1329677.072,77.31347818833332,72.38669594,6.372423912666666,1.0,1
London,2016,4744010.39475,4467952.088916667,276058.30569999997,64.72375534583334,4611063.901916667,4337782.663166666,273281.238725,1303451.1814166666,77.96163810916666,73.34088669166667,5.927061244250001,1.0,1
London,2017,4804275.092333334,4547852.392583334,256422.69978333334,65.43126719,4656772.295583333,4403247.164166667,253525.13145833334,1286928.53775,78.347845355,74.08179421083334,5.4461924,1.0,1
London,2018,4893981.189583333,4659568.557666667,234412.6322,66.1799248275,4735405.808083333,4504202.765166666,231203.04309166665,1280190.02525,78.71907576583334,74.87512976583334,4.882967307083333,1.0,1
London,2019,4901471.571833334,4684858.200416666,216613.37125,65.867406965,4755786.287083333,4544246.52975,211539.75725,1311559.3795833334,78.38320052333333,74.89668611666666,4.44852037325,1.0,1
London,2020,5065859.227666667,4785792.0025,280067.22525,66.775506585,4887182.813916666,4614825.715666667,272357.0982,1214721.2694166668,80.09259255083333,75.63010481416667,5.570969427166666,1.0,1
London,2021,5072318.93625,4757222.819833334,315096.11634166667,65.95030885999999,4896590.990583333,4589809.944999999,306781.0456333333,1231935.7594166666,79.898577995,74.8917057325,6.265246766333333,1.0,1
EastMidlands,1993,2035863.227,1855649.4413333333,180213.78564166665,58.44721184583333,2006982.6114166668,1827478.90775,179503.70345,558422.7220333334,78.23270214666667,71.23546034583333,8.94286686125,0.0,2
EastMidlands,1994,2010359.9633333331,1843664.6987500002,166695.2648,57.90204838,1981242.9586666666,1815210.9519999998,166032.00666666668,589480.9580666666,77.06951938666667,70.61099214416667,8.380243984166666,0.0,2
EastMidlands,1995,2037758.0221666666,1890815.8800833335,146942.14218333332,59.10872130916667,2007609.64875,1861312.38925,146297.259475,573022.8512833334,77.79486799916667,72.12555588583334,7.288737476416666,0.0,2
EastMidlands,1996,2066217.8603333335,1917816.8703333333,148400.98993333333,59.64809179083333,2033734.081,1887674.1224166667,146059.95850833334,558760.6690666667,78.4468176125,72.8126740675,7.182633503583333,0.0,2
EastMidlands,1997,2063710.3875,1944933.2968333333,118777.090725,60.23956461833333,2030020.9606666667,1913664.43625,116356.52451583334,571894.3726833333,78.02053674083334,73.54821424416666,5.730056517583333,0.0,2
EastMidlands,1998,2071282.6175833333,1966310.2855833333,104972.33188333333,60.65145839416667,2043650.43825,1939214.09575,104436.34242083335,567877.0617833333,78.25500351250001,74.25594463833333,5.110129987,0.0,2
EastMidlands,1999,2086689.5336666666,1975277.9105,111411.62299166666,60.632779237499996,2058101.8923333334,1947096.4799166666,111005.41241666667,567077.2743833334,78.39853469333333,74.17025042416667,5.39335135075,0.0,2
EastMidlands,2000,2094747.15825,1992017.8251666666,102729.333015,60.83496721,2063519.8763333333,1961133.8931666666,102385.98315333332,574668.1236333334,78.2181252825,74.33688644583333,4.960469955333333,0.0,2
EastMidlands,2001,2087628.5690000001,1988389.8318333335,99238.73717,60.288217269166665,2057573.564,1958883.3206666668,98690.24342,598304.5192166666,77.47193002666667,73.75589880166667,4.7969135315,0.0,2
EastMidlands,2002,2126305.64475,2027631.7947500001,98673.85001083334,60.8749466625,2094750.4813333333,1996523.24725,98227.23405500001,586787.5185416667,78.11655378583333,74.4537681975,4.6886315075,0.0,2
