Region,Date,All aged 16 & over,Total economically active,Total in employment,Unemployed,Economically inactive,Economic activity rate (%),Employment rate (%),Unemployment rate (%),Economic inactivity rate (%),All aged 16 to 64,Total economically active (16 to 64),Total in employment (16 to 64),Unemployed (16 to 64),Economically inactive (16 to 64),Economic activity rate (%) (16 to 64),Employment rate (%) (16 to 64),Unemployment rate (%) (16 to 64),Economic inactivity rate (%) (16 to 64),Treated
North East,Mar-May 1992,2024997,1201677.932,1055293.334,146384.5981,823319.0679,59.34220802,52.11332827,12.18168314,40.65779198,1639120,1191440.306,1045304.675,146135.631,447679.6945,72.68780233,63.7723092,12.26545974,27.31219767,0
North East,Apr-Jun 1992,2024948,1203943.498,1056523.683,147419.8149,821004.5021,59.45552665,52.17534885,12.2447453,40.54447335,1638935,1190160.593,1043459.941,146700.6519,448774.4071,72.61792523,63.66695085,12.32612244,27.38207477,0
North East,May-Jul 1992,2025101,1203065.44,1049443.411,153622.0286,822035.5602,59.40767595,51.82178129,12.76921633,40.59232405,1638979,1190843.842,1037619.843,153223.9992,448135.1578,72.65766323,63.30891628,12.8668423,27.34233677,0
North East,Jun-Aug 1992,2024652,1197992.914,1046946.641,151046.2729,826659.0856,59.17031245,51.70995516,12.60827766,40.82968755,1638438,1185182.605,1034554.733,150627.872,453255.3954,72.33612774,63.14274526,12.70925437,27.66387226,0
North East,Jul-Sep 1992,2024443,1200450.722,1045534.682,154916.0401,823992.278,59.2978277,51.64554803,12.90482294,40.7021723,1638114,1187758.965,1033157.165,154601.8002,450355.0351,72.507711,63.0699185,13.01626044,27.492289,0
North East,Aug-Oct 1992,2024400,1193984.933,1046815.672,147169.2606,830415.0669,58.97969438,51.70992257,12.32588926,41.02030562,1637933,1181141.62,1034398.596,146743.0238,456791.3799,72.11171764,63.15268062,12.42382974,27.88828236,0
North East,Sep-Nov 1992,2024066,1194069.929,1037711.573,156358.3556,829996.0712,58.99362614,51.26866284,13.09457276,41.00637386,1637526,1181752.327,1026031.337,155720.9901,455773.6725,72.16693521,62.65740741,13.17712574,27.83306479,0
North East,Oct-Dec 1992,2023976,1189568.786,1034649.877,154918.909,834407.2135,58.77385831,51.11967125,13.02311483,41.22614169,1637323,1178175.882,1024034.512,154141.37,459147.1181,71.95745017,62.54321914,13.08305257,28.04254983,0
North East,Nov-Jan 1993,2023725,1188934.969,1034500.548,154434.4218,834790.0305,58.74982863,51.1186326,12.98930773,41.25017137,1637023,1177444.984,1023567.882,153877.1024,459578.0158,71.92598908,62.52617598,13.0687297,28.07401092,0
North East,Dec-Feb 1993,2023585,1190408.457,1037770.194,152638.2629,833176.5427,58.8267089,51.28374614,12.82234362,41.1732911,1636762,1179151.416,1027345.825,151805.591,457610.5837,72.04171506,62.76696461,12.87413889,27.95828494,0
North East,Jan-Mar 1993,2023389,1190909.196,1041580.841,149328.3552,832479.8036,58.85715483,51.47704378,12.53902108,41.14284517,1636492,1179779.543,1031049.606,148729.9376,456712.4566,72.09198355,63.00364473,12.60658726,27.90801645,0
North East,Feb-Apr 1993,2023322,1196888.48,1047644.577,149243.9037,826433.5196,59.15462197,51.77844044,12.4693241,40.84537803,1636270,1183626.136,1035216.55,148409.5857,452643.864,72.33684759,63.2668539,12.53855261,27.66315241,0
